# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
316 4.877640 6.741210 8.579692 9.187788
317 4.895204 6.756657 8.590146 9.201866
318 4.911846 6.771181 8.601542 9.199645
319 4.915545 6.787552 8.616224 9.198875
320 4.920376 6.788594 8.616257 9.205049
321 4.940577 6.814330 8.633630 9.208300
322 4.941185 6.823775 8.631229 9.189996
323 4.942352 6.834675 8.636802 9.195757
324 4.966197 6.853500 8.661027 9.206634
325 4.980666 6.871349 8.658678 9.195797
326 4.986428 6.878010 8.664630 9.198937
327 5.013252 6.896947 8.672142 9.195695
328 5.024603 6.916107 8.694405 9.200375
329 5.044367 6.937335 8.701058 9.190773
330 5.050032 6.946293 8.698879 9.196444
331 5.065693 6.971901 8.710319 9.208138
332 5.088225 6.993173 8.717893 9.200593
333 5.101298 7.008708 8.721125 9.193178
334 5.130969 7.027886 8.739372 9.194726
335 5.146054 7.053072 8.749155 9.202006
336 5.164376 7.078187 8.762803 9.195983
337 5.186281 7.090339 8.769976 9.209963
338 5.247392 7.134918 8.763584 9.198477
339 5.267004 7.155120 8.778739 9.204987
340 5.289926 7.171268 8.779289 9.193749
341 5.328656 7.203253 8.786555 9.200010
342 5.376349 7.234930 8.800538 9.207258
343 5.425968 7.286869 8.818472 9.195047
344 5.454784 7.318359 8.815641 9.198937
345 5.516944 7.354836 8.828730 9.196062
346 5.578606 7.404547 8.850493 9.209409
347 5.641722 7.448772 8.854824 9.208839
348 5.706867 7.484351 8.856275 9.198369
349 5.773536 7.529585 8.861031 9.191510
350 5.848529 7.576397 8.879485 9.201300
351 5.893938 7.605428 8.867893 9.188102
352 5.940471 7.646018 8.878464 9.196389
353 5.986621 7.674094 8.885290 9.203842
354 6.015962 7.703578 8.888287 9.193585
355 6.031249 7.717628 8.896964 9.198026
356 6.040599 7.726336 8.901753 9.204809
357 6.058593 7.733334 8.903946 9.205884
358 6.061439 7.736327 8.894970 9.195820
359 6.082024 7.757480 8.899337 9.195312
360 6.065943 7.737738 8.899495 9.194703
361 6.071946 7.754280 8.902512 9.204794
362 6.088543 7.760255 8.897338 9.190333
363 6.085052 7.757069 8.908988 9.196428
364 6.076864 7.750569 8.903883 9.202556
365 6.096865 7.785514 8.915913 9.207204
366 6.109874 7.789569 8.908763 9.197566
367 6.104148 7.790126 8.908259 9.202013
368 6.111155 7.789794 8.916235 9.206517
369 6.112106 7.788960 8.908880 9.191815
370 6.119441 7.809819 8.906519 9.194585
371 6.119432 7.802033 8.925756 9.195820
372 6.123611 7.824798 8.907747 9.199652
373 6.109847 7.802633 8.910371 9.194179
374 6.119158 7.807703 8.915657 9.207243
375 6.112153 7.793453 8.907166 9.197566
376 6.136898 7.823012 8.915511 9.200134
377 6.129289 7.818675 8.916751 9.194297
378 6.128545 7.809566 8.909203 9.191776
379 6.132507 7.815726 8.908305 9.188888
380 6.135339 7.844140 8.934648 9.208222
381 6.132189 7.811565 8.907611 9.200724
382 6.139671 7.835043 8.918173 9.197060
383 6.129126 7.825701 8.930607 9.205057
384 6.136544 7.823169 8.921956 9.192755
385 6.134606 7.826554 8.929404 9.201027
386 6.135384 7.814750 8.916733 9.199310
387 6.149531 7.846642 8.925764 9.201167
388 6.134401 7.836752 8.921741 9.194171
389 6.136998 7.823537 8.921456 9.199955
390 6.152910 7.841585 8.909504 9.193874
391 6.157310 7.849370 8.929393 9.192677
392 6.147137 7.846731 8.930422 9.209409
393 6.134112 7.829698 8.915036 9.186346
394 6.146334 7.846567 8.921651 9.192419
395 6.139856 7.837490 8.916362 9.189792
396 6.140100 7.851148 8.916165 9.193522
397 6.137404 7.831807 8.924993 9.193608
398 6.155199 7.842978 8.927745 9.197067
399 6.139810 7.847269 8.930235 9.204399
400 6.137030 7.849388 8.943112 9.204616
401 6.153862 7.861855 8.928846 9.197278
402 6.141120 7.850425 8.929694 9.195218
403 6.143127 7.855131 8.931017 9.204500
404 6.147143 7.853752 8.932051 9.203393
405 6.140239 7.842880 8.929193 9.194023
406 6.150911 7.845982 8.928934 9.209547
407 6.156473 7.869690 8.941447 9.204693
408 6.133570 7.827726 8.930401 9.200165
409 6.131259 7.839727 8.917319 9.200142
410 6.139875 7.853823 8.927467 9.200872
411 6.147607 7.858344 8.929920 9.208438
412 6.147833 7.838636 8.926687 9.198462
413 6.148449 7.847443 8.923731 9.193733
414 6.142779 7.856014 8.935949 9.205552
415 6.149183 7.849913 8.925141 9.194446
416 6.147618 7.848779 8.928562 9.200398
417 6.140087 7.850104 8.936070 9.199395
418 6.141113 7.850294 8.929168 9.194914
419 6.148004 7.856315 8.929688 9.199450
420 6.141283 7.841075 8.923393 9.199185
421 6.149103 7.857988 8.931028 9.191274
422 6.147332 7.841256 8.929929 9.200693
423 6.147113 7.862649 8.939452 9.208176
424 6.143339 7.854949 8.924294 9.201726
425 6.142794 7.835696 8.926843 9.199955
426 6.148976 7.848983 8.927323 9.194202
427 6.151386 7.836792 8.931556 9.197192
428 6.160101 7.860204 8.935970 9.196319
429 6.139555 7.847271 8.927705 9.206826
430 6.148801 7.845189 8.925062 9.192638
431 6.155639 7.859116 8.929412 9.193389
432 6.144991 7.849465 8.924046 9.193068
433 6.144841 7.850698 8.926264 9.191008
434 6.141480 7.843566 8.920549 9.198687
435 6.139663 7.848642 8.925295 9.191086
436 6.136743 7.847083 8.932819 9.200825
437 6.137721 7.846004 8.925392 9.206370
438 6.156562 7.850022 8.930814 9.195640
439 6.150391 7.862555 8.929099 9.197122
440 6.156265 7.865576 8.937465 9.206888
441 6.147305 7.841417 8.920243 9.197130
442 6.150553 7.848132 8.925713 9.195484
