# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
289 3.989454 5.814685 7.640090 8.287528
290 3.994161 5.815450 7.653862 8.289288
291 3.986835 5.812785 7.664816 8.289539
292 3.994304 5.814316 7.669882 8.293800
293 3.993706 5.814239 7.662689 8.292549
294 3.987432 5.812901 7.647246 8.287277
295 3.983739 5.812590 7.643646 8.289288
296 3.994055 5.814751 7.651650 8.289791
297 3.985964 5.813694 7.640087 8.290544
298 3.990363 5.814820 7.652523 8.284757
299 3.993358 5.813912 7.659715 8.290544
300 3.990808 5.815038 7.663626 8.289037
301 3.988784 5.813702 7.658634 8.288534
302 3.990897 5.813191 7.651482 8.290293
303 3.984793 5.810745 7.639326 8.283747
304 3.990811 5.813649 7.651902 8.286773
305 3.994697 5.814493 7.656302 8.284252
306 3.992650 5.815086 7.652791 8.292048
307 3.996690 5.814881 7.653084 8.289037
308 3.994378 5.813350 7.657380 8.288786
309 3.993700 5.814099 7.654543 8.293049
310 3.996358 5.814570 7.656808 8.290042
311 3.984293 5.813072 7.651289 8.291296
312 3.985908 5.814761 7.655345 8.291547
313 3.989137 5.813363 7.656981 8.292298
314 3.982153 5.810937 7.643272 8.289037
315 3.992019 5.813558 7.661933 8.290544
316 3.991910 5.816165 7.657789 8.293049
317 3.989384 5.813761 7.651343 8.288283
318 3.977756 5.809044 7.654515 8.283747
319 3.986175 5.813104 7.654345 8.286773
320 3.984060 5.809747 7.649830 8.293049
321 3.977789 5.809313 7.650611 8.291797
322 3.986358 5.813633 7.651315 8.286773
323 3.988455 5.813286 7.655237 8.291797
324 3.991601 5.812975 7.662123 8.288283
325 3.982052 5.811134 7.653076 8.290293
326 3.985917 5.810376 7.650346 8.292048
327 3.989582 5.813735 7.654970 8.293550
328 3.984528 5.810834 7.650900 8.290042
329 3.990614 5.813702 7.654829 8.289791
330 3.987306 5.811119 7.654884 8.292298
331 3.984415 5.812870 7.657631 8.288283
332 3.982090 5.811085 7.652622 8.291797
333 3.981847 5.809425 7.641962 8.286773
334 3.995162 5.815190 7.660594 8.288786
335 3.995083 5.815446 7.666622 8.291797
336 3.984177 5.812022 7.651589 8.285513
337 3.993075 5.815181 7.665999 8.290042
338 3.996834 5.816288 7.671056 8.286773
339 3.992032 5.815045 7.659809 8.284504
340 3.986384 5.812409 7.659948 8.293550
341 3.984263 5.811420 7.656779 8.288534
342 3.992939 5.816765 7.658624 8.291045
343 3.991222 5.815665 7.665484 8.283747
344 3.988524 5.813404 7.664126 8.285513
345 3.984296 5.810962 7.657637 8.289539
346 3.995973 5.816200 7.684416 8.292799
347 3.992029 5.814534 7.663879 8.292298
348 3.997903 5.814734 7.666191 8.290544
349 3.996783 5.816224 7.666866 8.288032
350 3.996836 5.815637 7.672092 8.290293
351 3.989088 5.814376 7.654507 8.292048
352 3.986500 5.812366 7.664068 8.293049
353 3.987589 5.813813 7.658171 8.289791
354 3.980365 5.810665 7.666688 8.293550
355 3.984890 5.810481 7.657738 8.292549
356 3.982954 5.813067 7.656944 8.292048
357 3.990793 5.813139 7.668733 8.292048
358 3.984776 5.811854 7.657704 8.293049
359 3.984973 5.812581 7.663405 8.293800
360 3.987912 5.812805 7.665131 8.293550
361 3.984741 5.811200 7.655794 8.288032
362 3.991348 5.813674 7.653043 8.289037
363 3.993525 5.814014 7.651378 8.285513
364 3.986877 5.814656 7.655378 8.287277
365 3.989805 5.813752 7.662143 8.293800
366 3.989012 5.812579 7.665765 8.290794
367 3.985012 5.812538 7.654801 8.292048
368 3.984024 5.810996 7.652916 8.287277
