cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num,shannon_entropy
0.0110963,0.0235706,0.0,0.470768669444138,0.529231330555862,snapshot_16.xyz,64,4000,16.796962,4000,all,16,7.620939073842564
0.0113676,0.0235481,0.0,0.4827395840853402,0.5172604159146598,snapshot_17.xyz,64,4000,16.796962,4000,all,17,7.619265878265202
0.011403,0.023762,0.0,0.4798838481609292,0.5201161518390707,snapshot_18.xyz,64,4000,16.796962,4000,all,18,7.625241362325669
0.0114737,0.0236157,0.0,0.4858505146999665,0.5141494853000335,snapshot_19.xyz,64,4000,16.796962,4000,all,19,7.620812714629929
0.0116975,0.0237507,0.0,0.4925117996522207,0.5074882003477792,snapshot_20.xyz,64,4000,16.796962,4000,all,20,7.622789679001094
0.011568,0.0237282,0.0,0.4875211773332996,0.5124788226667004,snapshot_21.xyz,64,4000,16.796962,4000,all,21,7.623647324686958
0.0111199,0.0237395,0.0,0.4684134038206365,0.5315865961793635,snapshot_22.xyz,64,4000,16.796962,4000,all,22,7.622581891863922
0.0113087,0.0235594,0.0,0.480007979829707,0.519992020170293,snapshot_23.xyz,64,4000,16.796962,4000,all,23,7.619054231670274
0.0111199,0.0234918,0.0,0.4733524038175022,0.5266475961824977,snapshot_24.xyz,64,4000,16.796962,4000,all,24,7.6221058968629105
0.011568,0.0235819,0.0,0.4905457151459382,0.5094542848540617,snapshot_25.xyz,64,4000,16.796962,4000,all,25,7.624138729674903
0.011049,0.0235143,0.0,0.4698842831808729,0.5301157168191271,snapshot_26.xyz,64,4000,16.796962,4000,all,26,7.6208588045252625
0.0111671,0.0236044,0.0,0.4730939994238362,0.5269060005761639,snapshot_27.xyz,64,4000,16.796962,4000,all,27,7.621379432006217
0.0112733,0.0235481,0.0,0.478735014714563,0.521264985285437,snapshot_28.xyz,64,4000,16.796962,4000,all,28,7.622371830958708
0.0113205,0.0237395,0.0,0.4768634554223973,0.5231365445776027,snapshot_29.xyz,64,4000,16.796962,4000,all,29,7.620309645933631
0.0115091,0.0236269,0.0,0.4871184962902454,0.5128815037097545,snapshot_30.xyz,64,4000,16.796962,4000,all,30,7.622565064604697
0.0111671,0.0237282,0.0,0.4706256690351564,0.5293743309648435,snapshot_31.xyz,64,4000,16.796962,4000,all,31,7.621516455720313
0.0108245,0.0236719,0.0,0.4572721243330701,0.5427278756669299,snapshot_32.xyz,64,4000,16.796962,4000,all,32,7.625104048478711
0.0112261,0.0236719,0.0,0.4742373869440138,0.5257626130559863,snapshot_33.xyz,64,4000,16.796962,4000,all,33,7.621582448986503
0.0112143,0.0236832,0.0,0.4735128698824483,0.5264871301175518,snapshot_34.xyz,64,4000,16.796962,4000,all,34,7.6230110179808435
0.0108127,0.0234017,0.0,0.4620476290184046,0.5379523709815954,snapshot_35.xyz,64,4000,16.796962,4000,all,35,7.621266962089075
0.0112261,0.0235819,0.0,0.4760473074688638,0.5239526925311362,snapshot_36.xyz,64,4000,16.796962,4000,all,36,7.62306076348006
0.0111671,0.0234918,0.0,0.4753616155424445,0.5246383844575555,snapshot_37.xyz,64,4000,16.796962,4000,all,37,7.622193225174367
0.0115444,0.0236269,0.0,0.4886125560272401,0.5113874439727599,snapshot_38.xyz,64,4000,16.796962,4000,all,38,7.623655923915596
0.0116739,0.0236607,0.0,0.4933877695926156,0.5066122304073843,snapshot_39.xyz,64,4000,16.796962,4000,all,39,7.620806439558843
0.0113794,0.0236832,0.0,0.4804840562086204,0.5195159437913797,snapshot_40.xyz,64,4000,16.796962,4000,all,40,7.621521208499869
0.0112615,0.0236607,0.0,0.4759580232199386,0.5240419767800615,snapshot_41.xyz,64,4000,16.796962,4000,all,41,7.620368191340815
0.0110963,0.0234242,0.0,0.4737109485062457,0.5262890514937544,snapshot_42.xyz,64,4000,16.796962,4000,all,42,7.619322192526519
0.0112497,0.0236832,0.0,0.4750076003242804,0.5249923996757195,snapshot_43.xyz,64,4000,16.796962,4000,all,43,7.621340590228959
0.01086,0.0235256,0.0,0.4616247832148808,0.5383752167851192,snapshot_44.xyz,64,4000,16.796962,4000,all,44,7.620205671175009
0.0114855,0.0235819,0.0,0.487047269304,0.512952730696,snapshot_45.xyz,64,4000,16.796962,4000,all,45,7.624117514103786
