snapshot,prefix_length,full_length,fraction,cid,cid_normalized,compression_gain,n_particles_total,box_length,nbins,snapshot_num
snapshot_149.xyz,12000,32768,0.3662109375,0.0781466,0.760402841296098,0.23959715870390197,4000,16.757672110741936,32,149
snapshot_149.xyz,16384,32768,0.5,0.0755572,0.7328535402521824,0.2671464597478176,4000,16.757672110741936,32,149
snapshot_149.xyz,20000,32768,0.6103515625,0.0737798,0.7220995556599527,0.27790044434004735,4000,16.757672110741936,32,149
snapshot_149.xyz,24576,32768,0.75,0.0724342,0.7151522930345067,0.28484770696549333,4000,16.757672110741936,32,149
snapshot_149.xyz,28000,32768,0.8544921875,0.0716567,0.7088406370560887,0.2911593629439113,4000,16.757672110741936,32,149
snapshot_149.xyz,32768,32768,1.0,0.0703043,0.6993504297310201,0.30064957026897987,4000,16.757672110741936,32,149
snapshot_150.xyz,2048,32768,0.0625,0.100493,0.8955797166027983,0.10442028339720166,4000,16.757672110741936,32,150
snapshot_150.xyz,4096,32768,0.125,0.0888409,0.8192707420761903,0.18072925792380967,4000,16.757672110741936,32,150
snapshot_150.xyz,8192,32768,0.25,0.0820971,0.7857986523220645,0.21420134767793553,4000,16.757672110741936,32,150
snapshot_150.xyz,12000,32768,0.3662109375,0.0776155,0.7501981442103229,0.24980185578967706,4000,16.757672110741936,32,150
snapshot_150.xyz,16384,32768,0.5,0.0754234,0.7399601683524806,0.2600398316475194,4000,16.757672110741936,32,150
snapshot_150.xyz,20000,32768,0.6103515625,0.0737798,0.725957631037774,0.274042368962226,4000,16.757672110741936,32,150
snapshot_150.xyz,24576,32768,0.75,0.0725269,0.7116410734435559,0.28835892655644413,4000,16.757672110741936,32,150
snapshot_150.xyz,28000,32768,0.8544921875,0.0706679,0.7068910673201961,0.29310893267980387,4000,16.757672110741936,32,150
snapshot_150.xyz,32768,32768,1.0,0.0693039,0.6937056511307367,0.3062943488692633,4000,16.757672110741936,32,150
snapshot_151.xyz,2048,32768,0.0625,0.0996498,0.9014410421095481,0.09855895789045188,4000,16.757672110741936,32,151
snapshot_151.xyz,4096,32768,0.125,0.0902221,0.8354826462199504,0.1645173537800496,4000,16.757672110741936,32,151
snapshot_151.xyz,8192,32768,0.25,0.08135,0.7915580119098587,0.20844198809014125,4000,16.757672110741936,32,151
snapshot_151.xyz,12000,32768,0.3662109375,0.0774384,0.7624741537189107,0.2375258462810893,4000,16.757672110741936,32,151
snapshot_151.xyz,16384,32768,0.5,0.0750221,0.7398045519091195,0.26019544809088047,4000,16.757672110741936,32,151
snapshot_151.xyz,20000,32768,0.6103515625,0.0741149,0.7387333419717523,0.26126665802824767,4000,16.757672110741936,32,151
snapshot_151.xyz,24576,32768,0.75,0.0725269,0.7336984616256168,0.2663015383743832,4000,16.757672110741936,32,151
snapshot_151.xyz,28000,32768,0.8544921875,0.0713273,0.7221642866978235,0.2778357133021765,4000,16.757672110741936,32,151
snapshot_151.xyz,32768,32768,1.0,0.0704471,0.7145765414491742,0.28542345855082585,4000,16.757672110741936,32,151
snapshot_152.xyz,2048,32768,0.0625,0.0988062,0.8614165402521315,0.13858345974786845,4000,16.757672110741936,32,152
snapshot_152.xyz,4096,32768,0.125,0.0883801,0.8082978937452557,0.19170210625474426,4000,16.757672110741936,32,152
snapshot_152.xyz,8192,32768,0.25,0.08135,0.7915580119098587,0.20844198809014125,4000,16.757672110741936,32,152
snapshot_152.xyz,12000,32768,0.3662109375,0.0785005,0.758752174753528,0.24124782524647204,4000,16.757672110741936,32,152
snapshot_152.xyz,16384,32768,0.5,0.0755572,0.7470038656608698,0.25299613433913015,4000,16.757672110741936,32,152
snapshot_152.xyz,20000,32768,0.6103515625,0.0738915,0.7389076109238907,0.2610923890761093,4000,16.757672110741936,32,152
snapshot_152.xyz,24576,32768,0.75,0.0726196,0.7266792416957277,0.27332075830427227,4000,16.757672110741936,32,152
snapshot_152.xyz,28000,32768,0.8544921875,0.071492,0.7162816514193482,0.2837183485806518,4000,16.757672110741936,32,152
snapshot_152.xyz,32768,32768,1.0,0.0705899,0.7130134481859999,0.2869865518140001,4000,16.757672110741936,32,152
snapshot_153.xyz,2048,32768,0.0625,0.0979617,0.8730211211122003,0.12697887888779968,4000,16.757672110741936,32,153
snapshot_153.xyz,4096,32768,0.125,0.090682,0.8093644290929213,0.19063557090707872,4000,16.757672110741936,32,153
snapshot_153.xyz,8192,32768,0.25,0.0818482,0.7708728902953585,0.22912710970464145,4000,16.757672110741936,32,153
snapshot_153.xyz,12000,32768,0.3662109375,0.0795612,0.763917080336825,0.23608291966317496,4000,16.757672110741936,32,153
snapshot_153.xyz,16384,32768,0.5,0.0764929,0.74569746244358,0.25430253755641996,4000,16.757672110741936,32,153
snapshot_153.xyz,20000,32768,0.6103515625,0.0746732,0.7347482559455284,0.2652517440544716,4000,16.757672110741936,32,153
snapshot_153.xyz,24576,32768,0.75,0.0729902,0.7264585863009336,0.27354141369906637,4000,16.757672110741936,32,153
snapshot_153.xyz,28000,32768,0.8544921875,0.0723153,0.715355623701652,0.28464437629834805,4000,16.757672110741936,32,153
snapshot_153.xyz,32768,32768,1.0,0.0714462,0.7166420250401722,0.28335797495982784,4000,16.757672110741936,32,153
snapshot_154.xyz,2048,32768,0.0625,0.0988062,0.8491423169474045,0.1508576830525955,4000,16.757672110741936,32,154
snapshot_154.xyz,4096,32768,0.125,0.0893016,0.8067574892494489,0.1932425107505511,4000,16.757672110741936,32,154
snapshot_154.xyz,8192,32768,0.25,0.0830923,0.7617136937828868,0.23828630621711322,4000,16.757672110741936,32,154
snapshot_154.xyz,12000,32768,0.3662109375,0.0799145,0.7560644477662775,0.24393555223372254,4000,16.757672110741936,32,154
snapshot_154.xyz,16384,32768,0.5,0.0766264,0.7385677108433735,0.26143228915662653,4000,16.757672110741936,32,154
snapshot_154.xyz,20000,32768,0.6103515625,0.0752311,0.7347432879842954,0.26525671201570455,4000,16.757672110741936,32,154
snapshot_154.xyz,24576,32768,0.75,0.0732681,0.7272628914586332,0.2727371085413668,4000,16.757672110741936,32,154
snapshot_154.xyz,28000,32768,0.8544921875,0.0727267,0.7205657386307341,0.27943426136926586,4000,16.757672110741936,32,154
snapshot_154.xyz,32768,32768,1.0,0.0710895,0.7057010403430749,0.2942989596569251,4000,16.757672110741936,32,154
snapshot_155.xyz,2048,32768,0.0625,0.0962702,0.8100756472934425,0.1899243527065575,4000,16.757672110741936,32,155
snapshot_155.xyz,4096,32768,0.125,0.090682,0.7965881340150038,0.20341186598499617,4000,16.757672110741936,32,155
snapshot_155.xyz,8192,32768,0.25,0.0818482,0.7587388990859707,0.2412611009140293,4000,16.757672110741936,32,155
snapshot_155.xyz,12000,32768,0.3662109375,0.0783235,0.7532771670657934,0.2467228329342066,4000,16.757672110741936,32,155
snapshot_155.xyz,16384,32768,0.5,0.0759583,0.730305069753579,0.269694930246421,4000,16.757672110741936,32,155
snapshot_155.xyz,20000,32768,0.6103515625,0.0744499,0.7325510916944633,0.2674489083055367,4000,16.757672110741936,32,155
snapshot_155.xyz,24576,32768,0.75,0.0736385,0.7289857941889818,0.2710142058110182,4000,16.757672110741936,32,155
snapshot_155.xyz,28000,32768,0.8544921875,0.0725622,0.7172304042700405,0.2827695957299595,4000,16.757672110741936,32,155
snapshot_155.xyz,32768,32768,1.0,0.0713749,0.7090268809727217,0.2909731190272783,4000,16.757672110741936,32,155
snapshot_156.xyz,2048,32768,0.0625,0.103016,0.8853214162942591,0.11467858370574091,4000,16.757672110741936,32,156
snapshot_156.xyz,4096,32768,0.125,0.0902221,0.8320078569518348,0.16799214304816523,4000,16.757672110741936,32,156
