snapshot,snapshot_num,nbins_sub,n_tiles,cid_mean,cid_std,cid_min,cid_max,sequence_length
snapshot_247.xyz,247,16,8,0.8754480940347774,0.015029518022014058,0.8565216998518411,0.89587289925613,4096
snapshot_247.xyz,247,32,1,0.7966504435719756,0.0,0.7966504435719756,0.7966504435719756,32768
snapshot_248.xyz,248,8,64,0.916572244346424,0.04052609277300038,0.8321041453305748,1.0,512
snapshot_248.xyz,248,16,8,0.8639869163315588,0.015011828646295503,0.8503461647506425,0.8934157343411513,4096
snapshot_248.xyz,248,32,1,0.7960771004481887,0.0,0.7960771004481887,0.7960771004481887,32768
snapshot_249.xyz,249,8,64,0.921386528514182,0.04454661662438943,0.8443361214993291,1.0215728419255936,512
snapshot_249.xyz,249,16,8,0.8668205032972344,0.01648995207867924,0.8447237617462353,0.8991295329110642,4096
snapshot_249.xyz,249,32,1,0.800202637911382,0.0,0.800202637911382,0.800202637911382,32768
snapshot_250.xyz,250,8,64,0.9050544964018103,0.03926123402710659,0.80739955754266,1.0210553999907177,512
snapshot_250.xyz,250,16,8,0.8689176141173777,0.02056862691381939,0.8331932396587569,0.9075795458754676,4096
snapshot_250.xyz,250,32,1,0.8079906395941133,0.0,0.8079906395941133,0.8079906395941133,32768
snapshot_251.xyz,251,8,64,0.9219516358486433,0.04236502389970257,0.8284315785051048,1.0,512
snapshot_251.xyz,251,16,8,0.8705436161588256,0.017768651476435637,0.8462089770708936,0.904686256756386,4096
snapshot_251.xyz,251,32,1,0.8104471998495597,0.0,0.8104471998495597,0.8104471998495597,32768
snapshot_252.xyz,252,8,64,0.9170849475168227,0.04452956399428155,0.8090696469336023,1.0221227859040942,512
snapshot_252.xyz,252,16,8,0.8594181534612972,0.0178259332571982,0.8277639963481774,0.8926751737391954,4096
snapshot_252.xyz,252,32,1,0.7857632919340634,0.0,0.7857632919340634,0.7857632919340634,32768
snapshot_253.xyz,253,8,64,0.9169368177195734,0.04393032229716514,0.8284315785051048,1.0205530303030304,512
snapshot_253.xyz,253,16,8,0.87128537186832,0.018845070754834506,0.8461519466622769,0.9014232325248089,4096
snapshot_253.xyz,253,32,1,0.813691729036123,0.0,0.813691729036123,0.813691729036123,32768
snapshot_254.xyz,254,8,64,0.9115612516022762,0.0469396070359557,0.7505566992983489,0.9807516629078765,512
snapshot_254.xyz,254,16,8,0.8807258809929187,0.016817082306363425,0.8587300280772995,0.9038049041396546,4096
snapshot_254.xyz,254,32,1,0.8063871539710525,0.0,0.8063871539710525,0.8063871539710525,32768
snapshot_255.xyz,255,8,64,0.9168596840891284,0.03503053241148973,0.8443361214993291,0.9803083998573704,512
snapshot_255.xyz,255,16,8,0.8703857824096823,0.020864776858148838,0.8510369702434626,0.9209752961704473,4096
snapshot_255.xyz,255,32,1,0.82307885370773,0.0,0.82307885370773,0.82307885370773,32768
snapshot_256.xyz,256,8,64,0.9287353163814168,0.04055643882870946,0.8477374900214277,1.0221227859040942,512
snapshot_256.xyz,256,16,8,0.8767698431924482,0.020472600431940144,0.8531902728723062,0.9138078046479562,4096
snapshot_256.xyz,256,32,1,0.8124153752817477,0.0,0.8124153752817477,0.8124153752817477,32768
snapshot_257.xyz,257,8,64,0.9207673702810959,0.0416286019900118,0.8542727272727273,1.0215728419255936,512
snapshot_257.xyz,257,16,8,0.872674606766079,0.017447234453614527,0.8537135278514588,0.9126154835154743,4096
snapshot_257.xyz,257,32,1,0.814117545573635,0.0,0.814117545573635,0.814117545573635,32768
snapshot_258.xyz,258,8,64,0.9143274242029855,0.046818861520069206,0.7929002798644866,1.0221227859040942,512
snapshot_258.xyz,258,16,8,0.8655861991897636,0.014773618649385247,0.8328510690630545,0.8854090629855816,4096
snapshot_258.xyz,258,32,1,0.8094516424682849,0.0,0.8094516424682849,0.8094516424682849,32768
snapshot_259.xyz,259,8,64,0.904429251817297,0.03792618165603808,0.8090696469336023,1.0,512
snapshot_259.xyz,259,16,8,0.8750305077272789,0.017993122346239086,0.838296073560814,0.8991295329110642,4096
snapshot_259.xyz,259,32,1,0.7932552080733871,0.0,0.7932552080733871,0.7932552080733871,32768
snapshot_260.xyz,260,8,64,0.9209760908227358,0.041192399949180634,0.8477374900214277,1.0430824667319911,512
snapshot_260.xyz,260,16,8,0.8607505647416915,0.019890764830510336,0.8201083662411608,0.880745995174253,4096
snapshot_260.xyz,260,32,1,0.8026358448806291,0.0,0.8026358448806291,0.8026358448806291,32768
snapshot_261.xyz,261,8,64,0.9282693597582238,0.04976336356906593,0.7799794788202504,1.0210553999907177,512
snapshot_261.xyz,261,16,8,0.8718956666462407,0.015531698106527875,0.8515255292652553,0.9042483239966939,4096
snapshot_261.xyz,261,32,1,0.8228446511813617,0.0,0.8228446511813617,0.8228446511813617,32768
snapshot_262.xyz,262,8,64,0.9188389325222801,0.046413222151147265,0.8170810723252613,1.0430824667319911,512
snapshot_262.xyz,262,16,8,0.8692234527085285,0.019504033627685227,0.850879462425337,0.9160212245805089,4096
snapshot_262.xyz,262,32,1,0.8081826635396615,0.0,0.8081826635396615,0.8081826635396615,32768
snapshot_263.xyz,263,8,64,0.917258283798394,0.04144517879454957,0.8370684343753015,1.0441728791929505,512
snapshot_263.xyz,263,16,8,0.8795987966498062,0.019385694222181758,0.8502923037102489,0.9152413058907026,4096
snapshot_263.xyz,263,32,1,0.8071574275989153,0.0,0.8071574275989153,0.8071574275989153,32768
snapshot_264.xyz,264,8,64,0.9216645022922149,0.03488655553396168,0.8443361214993291,0.9803083998573704,512
snapshot_264.xyz,264,16,8,0.8740196379638225,0.008056293253464509,0.8641679214818307,0.8900262726961904,4096
snapshot_264.xyz,264,32,1,0.8108411252660352,0.0,0.8108411252660352,0.8108411252660352,32768
snapshot_265.xyz,265,8,64,0.9283294820375652,0.044208318938336065,0.840786208602886,1.0233041714213262,512
snapshot_265.xyz,265,16,8,0.8749538758084006,0.028548271327498646,0.8399676580059986,0.9276612305759004,4096
snapshot_265.xyz,265,32,1,0.8156642576997352,0.0,0.8156642576997352,0.8156642576997352,32768
snapshot_266.xyz,266,8,64,0.9206539186227968,0.04194082328331962,0.840786208602886,1.0430824667319911,512
snapshot_266.xyz,266,16,8,0.8706018417267885,0.013905691276358812,0.843523995041615,0.8859261125407136,4096
snapshot_266.xyz,266,32,1,0.811024438902743,0.0,0.811024438902743,0.811024438902743,32768
snapshot_267.xyz,267,8,64,0.9219979533669116,0.043329070655504155,0.8131542590848791,1.0420411825677995,512
snapshot_267.xyz,267,16,8,0.8738498576910914,0.015561778977093038,0.8537135278514588,0.897292320531195,4096
snapshot_267.xyz,267,32,1,0.8107329790634489,0.0,0.8107329790634489,0.8107329790634489,32768
snapshot_268.xyz,268,8,64,0.9081587378260406,0.04847998828512422,0.8163948542456927,1.0221227859040942,512
snapshot_268.xyz,268,16,8,0.8727398304367399,0.022154761715472822,0.844109782098074,0.9080091111131604,4096
snapshot_268.xyz,268,32,1,0.8096169576059851,0.0,0.8096169576059851,0.8096169576059851,32768
snapshot_269.xyz,269,8,64,0.9290103912694087,0.04001466783731882,0.8477374900214277,1.0205530303030304,512
snapshot_269.xyz,269,16,8,0.8827892509636929,0.02678160437486226,0.8255733372999554,0.9118013112568063,4096
snapshot_269.xyz,269,32,1,0.8125677830940988,0.0,0.8125677830940988,0.8125677830940988,32768
snapshot_270.xyz,270,8,64,0.9196653907399219,0.042270959348388905,0.8090696469336023,1.0205530303030304,512
snapshot_270.xyz,270,16,8,0.8683229934350967,0.018176706063505854,0.8328510690630545,0.89587289925613,4096
snapshot_270.xyz,270,32,1,0.8151070020884563,0.0,0.8151070020884563,0.8151070020884563,32768
snapshot_271.xyz,271,8,64,0.9085610965009776,0.04232173238460594,0.798473313355471,1.0,512
snapshot_271.xyz,271,16,8,0.8824768517914537,0.01883161265867646,0.8556640694173897,0.908433281293048,4096
snapshot_271.xyz,271,32,1,0.8117329542630496,0.0,0.8117329542630496,0.8117329542630496,32768
snapshot_272.xyz,272,8,64,0.9278111006335128,0.047757395033226985,0.8205852174735662,1.0430824667319911,512
snapshot_272.xyz,272,16,8,0.878348830436777,0.022439459968873893,0.8509551875261132,0.9202383598177575,4096
snapshot_272.xyz,272,32,1,0.8069417862838915,0.0,0.8069417862838915,0.8069417862838915,32768
snapshot_273.xyz,273,8,64,0.9219967176873551,0.04082808664017717,0.798473313355471,1.0,512
snapshot_273.xyz,273,16,8,0.8760527110077148,0.01607488026668991,0.8521648862853205,0.9038049041396546,4096
snapshot_273.xyz,273,32,1,0.8195805932489619,0.0,0.8195805932489619,0.8195805932489619,32768
snapshot_274.xyz,274,8,64,0.9279894330696777,0.03978022728199719,0.8477374900214277,1.0205530303030304,512
snapshot_274.xyz,274,16,8,0.8895313512206617,0.0176911770012394,0.8653965197675046,0.9152413058907026,4096
snapshot_274.xyz,274,32,1,0.8183634616503404,0.0,0.8183634616503404,0.8183634616503404,32768
snapshot_275.xyz,275,8,64,0.918055528927708,0.0524974364970643,0.7941493858642233,1.0465238155614724,512
snapshot_275.xyz,275,16,8,0.877052031742604,0.0230348878983559,0.8306104488359068,0.9138078046479562,4096
snapshot_275.xyz,275,32,1,0.8258326251527718,0.0,0.8258326251527718,0.8258326251527718,32768
snapshot_276.xyz,276,8,64,0.9255539333100394,0.045639841467964945,0.8003187332173861,1.0221227859040942,512
snapshot_276.xyz,276,16,8,0.8804485763449498,0.016377277721389482,0.8578105957416302,0.9000615299843879,4096
snapshot_276.xyz,276,32,1,0.8321191141024327,0.0,0.8321191141024327,0.8321191141024327,32768
snapshot_277.xyz,277,8,64,0.9217607502830039,0.040759577344448454,0.7941493858642233,1.0,512
snapshot_277.xyz,277,16,8,0.8732515528280321,0.014517799520788344,0.8538681237946552,0.8977586456112456,4096
snapshot_277.xyz,277,32,1,0.819246888109206,0.0,0.819246888109206,0.819246888109206,32768
snapshot_278.xyz,278,8,64,0.9228306173010705,0.04415112751163508,0.8246024722372892,1.0880711418394462,512
